,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
32,-0.630042397318355,NP_001013671,NP_001013671.2,NM_001013649.4
33,-0.748204658722716,NP_001014,NP_001014.1,NM_001023.4
34,-0.663317417180192,NP_001015,NP_001015.1,NM_001024.4
35,-0.661726214152732,NP_001016,NP_001016.1,NM_001025.5
36,-0.821713269010603,NP_001017964,NP_001017964.1,NM_001017964.2
37,-0.681808835990422,NP_001022,NP_001022.1,NM_001031.5
38,1.07873332829782,NP_001028228,NP_001028228.1,NM_001033056.4
39,-0.596456452373243,NP_001028260,NP_001028260.2,NM_001033088.3
40,-1.502234778234,NP_001028752,NP_001028752.1,NM_001033580.3
41,-1.502234778234,NP_001028752,NP_001028752.1-2,NM_001033580.3-2
42,-1.09216458179708,NP_001030014,NP_001030014.2,NM_001034842.5
43,-1.73598034044186,NP_001030582,NP_001030582.1,NM_001035505.2
44,-0.941186498564836,NP_001034200,NP_001034200.1,NM_001039111.3
45,-0.941186498564836,NP_001034200,NP_001034200.1-2,NM_001039111.3-2
46,-1.49612655760494,NP_001035363,NP_001035363.1,NM_001040273.3
47,-1.23627249463131,NP_001036189,NP_001036189.1,NM_001042724.2
48,-0.665203510010429,NP_001073027,NP_001073027.1,NM_001079559.3
49,-0.927120043230001,NP_001073965,NP_001073965.2,NM_001080496.3
50,-0.652322540207424,NP_001075,NP_001075.1,NM_001084.5
51,-0.805636766955448,NP_001092755,NP_001092755.1,NM_001099285.2
52,-0.685128875154836,NP_001092885,NP_001092885.2,NM_001099415.3
53,1.6060848499537,NP_001096071,NP_001096071.1,NM_001102601.3
54,1.69534703246736,NP_001103224,NP_001103224.1,NM_001109754.4
55,-0.979638027765037,NP_001108072,NP_001108072.1,NM_001114600.3
56,-0.979638027765037,NP_001108072,NP_001108072.1-2,NM_001114600.3-2
57,0.842473239795462,NP_001123543,NP_001123543.1,NM_001130071.2
58,-0.990100278726421,NP_001124149,NP_001124149.1,NM_001130677.2
59,-0.990100278726421,NP_001124149,NP_001124149.1-2,NM_001130677.2-2
60,2.26017515177523,NP_001127876,NP_001127876.1,NM_001134404.2
